Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
1,0,0,0.0000,0.995000,120,-100.0
2,0,0,0.0000,0.990025,16,-100.0
3,0,0,0.0000,0.985075,14,-100.0
4,0,0,0.0000,0.980150,24,-100.0
5,0,0,0.0000,0.975249,17,-100.0
6,0,0,0.0000,0.970373,99,-100.0
7,0,0,0.0000,0.965521,41,-100.0
8,0,0,0.0000,0.960693,22,-100.0
9,1,1,0.1111,0.955890,24,-90.0
10,1,1,0.2000,0.951110,69,-90.0
11,0,1,0.1818,0.946355,29,-100.0
12,0,1,0.1667,0.941623,32,-100.0
13,0,1,0.1538,0.936915,56,-100.0
14,1,1,0.2143,0.932230,31,-90.0
15,0,1,0.2000,0.927569,22,-100.0
16,0,1,0.1875,0.922931,14,-100.0
17,0,1,0.1765,0.918316,81,-100.0
18,0,1,0.1667,0.913725,28,-100.0
19,0,1,0.1579,0.909156,45,-100.0
20,0,1,0.1500,0.904610,126,-100.0
21,0,1,0.1429,0.900087,52,-100.0
22,0,1,0.1364,0.895587,31,-100.0
23,1,1,0.1739,0.891109,33,-90.0
24,0,1,0.1667,0.886654,45,-100.0
25,0,1,0.1600,0.882220,18,-100.0
26,0,1,0.1538,0.877809,42,-100.0
27,0,1,0.1481,0.873420,37,-100.0
28,0,1,0.1429,0.869053,19,-100.0
29,1,1,0.1724,0.864708,67,-90.0
30,0,1,0.1667,0.860384,22,-100.0
31,0,1,0.1613,0.856082,65,-100.0
32,0,1,0.1562,0.851802,18,-100.0
33,1,1,0.1818,0.847543,22,-90.0
34,0,1,0.1765,0.843305,155,-100.0
35,0,1,0.1714,0.839089,76,-100.0
36,1,1,0.1944,0.834893,43,-90.0
37,0,1,0.1892,0.830719,23,-100.0
38,0,1,0.1842,0.826565,79,-100.0
39,0,1,0.1795,0.822432,45,-100.0
40,0,1,0.1750,0.818320,49,-100.0
41,0,1,0.1707,0.814229,22,-100.0
42,0,1,0.1667,0.810157,52,-100.0
43,0,1,0.1628,0.806107,49,-100.0
44,0,1,0.1591,0.802076,44,-100.0
45,0,1,0.1556,0.798066,25,-100.0
46,0,1,0.1522,0.794075,23,-100.0
47,0,1,0.1489,0.790105,43,-100.0
48,0,1,0.1458,0.786154,19,-100.0
49,0,1,0.1429,0.782224,24,-100.0
50,1,1,0.1600,0.778313,93,-90.0
51,0,1,0.1569,0.774421,13,-100.0
52,0,1,0.1538,0.770549,33,-100.0
53,0,1,0.1509,0.766696,162,-100.0
54,0,1,0.1481,0.762863,104,-100.0
55,0,1,0.1455,0.759048,10,-100.0
56,0,1,0.1429,0.755253,18,-100.0
57,0,1,0.1404,0.751477,34,-100.0
58,0,1,0.1379,0.747719,12,-100.0
59,0,1,0.1356,0.743981,71,-100.0
60,0,1,0.1333,0.740261,13,-100.0
61,0,1,0.1311,0.736560,8,-100.0
62,0,1,0.1290,0.732877,15,-100.0
63,0,1,0.1270,0.729212,34,-100.0
64,0,1,0.1250,0.725566,35,-100.0
65,0,1,0.1231,0.721939,61,-100.0
66,0,1,0.1212,0.718329,8,-100.0
67,0,1,0.1194,0.714737,20,-100.0
68,0,1,0.1176,0.711164,22,-100.0
69,0,1,0.1159,0.707608,86,-100.0
70,1,1,0.1286,0.704070,70,-90.0
71,0,1,0.1268,0.700549,80,-100.0
72,0,1,0.1250,0.697047,48,-100.0
73,0,1,0.1233,0.693561,19,-100.0
74,0,1,0.1216,0.690094,43,-100.0
75,0,1,0.1200,0.686643,35,-100.0
76,1,1,0.1316,0.683210,47,-90.0
77,0,1,0.1299,0.679794,77,-100.0
78,0,1,0.1282,0.676395,11,-100.0
79,0,1,0.1266,0.673013,71,-100.0
80,0,1,0.1250,0.669648,23,-100.0
81,0,1,0.1235,0.666300,122,-100.0
82,1,1,0.1341,0.662968,85,-90.0
83,0,1,0.1325,0.659653,24,-100.0
84,0,1,0.1310,0.656355,156,-100.0
85,0,1,0.1294,0.653073,27,-100.0
86,0,1,0.1279,0.649808,46,-100.0
