Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
751,9,9,9.0000,0.023181,116,-10.0
752,23,23,16.0000,0.023065,316,130.0
753,25,25,19.0000,0.022950,425,150.0
754,10,25,16.7500,0.022835,194,0.0
755,26,26,18.6000,0.022721,398,160.0
756,17,26,18.3333,0.022607,243,70.0
757,27,27,19.5714,0.022494,449,170.0
758,11,27,18.5000,0.022382,189,10.0
759,19,27,18.5556,0.022270,325,90.0
760,17,27,18.4000,0.022159,309,70.0
761,29,29,19.3636,0.022048,549,190.0
762,17,29,19.1667,0.021938,269,70.0
763,20,29,19.2308,0.021828,396,100.0
764,6,29,18.2857,0.021719,73,-40.0
765,9,29,17.6667,0.021610,152,-10.0
766,6,29,16.9375,0.021502,127,-40.0
767,18,29,17.0000,0.021395,306,80.0
768,14,29,16.8333,0.021288,236,40.0
769,11,29,16.5263,0.021181,207,10.0
770,9,29,16.1500,0.021075,157,-10.0
771,15,29,16.0952,0.020970,182,50.0
772,3,29,15.5000,0.020865,51,-70.0
773,17,29,15.5652,0.020761,210,70.0
774,25,29,15.9583,0.020657,402,150.0
775,21,29,16.1600,0.020554,451,110.0
776,24,29,16.4615,0.020451,284,140.0
777,13,29,16.3333,0.020349,203,30.0
778,9,29,16.0714,0.020247,108,-10.0
779,19,29,16.1724,0.020146,249,90.0
780,1,29,15.6667,0.020045,12,-90.0
781,20,29,15.8065,0.019945,246,100.0
782,8,29,15.5625,0.019845,104,-20.0
783,24,29,15.8182,0.019746,318,140.0
784,11,29,15.6765,0.019647,143,10.0
785,13,29,15.6000,0.019549,169,30.0
786,32,32,16.0556,0.019451,468,220.0
787,15,32,16.0270,0.019354,220,50.0
788,26,32,16.2895,0.019257,420,160.0
789,13,32,16.2051,0.019161,167,30.0
790,26,32,16.4500,0.019065,393,160.0
791,12,32,16.3415,0.018970,174,20.0
792,27,32,16.5952,0.018875,422,170.0
793,17,32,16.6047,0.018780,232,70.0
794,6,32,16.3636,0.018686,104,-40.0
795,12,32,16.2667,0.018593,228,20.0
796,12,32,16.1739,0.018500,166,20.0
797,13,32,16.1064,0.018408,248,30.0
798,0,32,15.7708,0.018315,40,-100.0
799,23,32,15.9184,0.018224,344,130.0
800,35,35,16.2157,0.018133,545,250.0

